"Source Row","Tier","Institution","Crawler Hub","Directory"
"110","","Tulane University","https://medicine.tulane.edu/","DIRECTORY NOT AVAILABLE"
"111","Tier 2","Geisinger Health","https://www.geisinger.org/","DIRECTORY NOT AVAILABLE"
"112","","Trinity Health","https://www.trinity-health.org/","DIRECTORY NOT AVAILABLE"
"113","Tier 3+","Allegheny Health","https://www.ahn.org/","DIRECTORY NOT AVAILABLE"
"114","","UCF","https://med.ucf.edu/","DIRECTORY NOT AVAILABLE"
"115","Tier 3+","Tufts Medical Center","https://www.tuftsmedicine.org/","https://www.tuftsmedicine.org/find-a-doctor"
"116","","Dignity Health","https://www.dignityhealth.org/","https://www.dignityhealth.org/ourdoctors"
"117","","Harbor-UCLA","https://www.harbor-ucla.org/","https://www.uclahealth.org/providers"
"118","","Einstein Health","https://www.jeffersonhealth.org/","https://www.jeffersonhealth.org/find-a-doctor"
"119","Tier 3+","Albany Medical Center","https://www.amc.edu/","DIRECTORY NOT AVAILABLE"
"120","","RWJBarnabas Health","https://www.rwjbh.org/","https://www.rwjbh.org/doctors/"
"121","","Boston Children's Hospital","https://www.childrenshospital.org/","https://www.childrenshospital.org/directory"
"122","","University of Nevada","https://www.unlv.edu/medicine/","DIRECTORY NOT AVAILABLE"
"123","Tier 3+","GWU","https://smhs.gwu.edu/","DIRECTORY NOT AVAILABLE"
"124","","Maimonides Medical Center","https://maimo.org/","https://maimo.org/find-a-doctor"
"125","Tier 2","Dartmouth-Hitchcock","https://www.dartmouth-hitchcock.org/","DIRECTORY NOT AVAILABLE"
"126","","Mclaren HealthCare","https://www.mclaren.org/","DIRECTORY NOT AVAILABLE"
"127","Tier 3+","Cedars Sinai","https://www.cedars-sinai.edu/","DIRECTORY NOT AVAILABLE"
"128","Tier 3+","Westchester Medical Center","https://www.wmchealth.org/","https://www.wmchealth.org/find-a-doctor"
"129","Tier 3+","Cooper Hospital","https://www.cooperhealth.edu/","https://www.cooperhealth.org/doctors"
"132","Tier 3+","UMMS-Baystate","https://www.baystatehealth.org/","DIRECTORY NOT AVAILABLE"
"133","","Cook County Health","https://cookcountyhealth.org/","DIRECTORY NOT AVAILABLE"
"134","","St. Luke's","https://www.slhn.org/","DIRECTORY NOT AVAILABLE"
"135","","Presence Health","https://healthcare.ascension.org/","https://healthcare.ascension.org/find-care"
"136","Tier 1","Eastern Virginia Medical School","https://www.odu.edu/medicine","https://www.odu.edu/directory"
"137","","Wright State University","https://medicine.wright.edu/","https://www.wright.edu/directories"
"138","","University of Florida-Jacksonville","https://med.jax.ufl.edu/","https://directory.ufl.edu/"
"139","","UT Dell Medical Center","https://dellmed.utexas.edu/","DIRECTORY NOT AVAILABLE"
"140","","Ohio Health","https://www.ohiohealth.com/","https://www.ohiohealth.com/find-a-doctor"
"141","","East Carolina University","https://medicine.ecu.edu/","DIRECTORY NOT AVAILABLE"
"142","","Campbell University","https://medicine.campbell.edu/","https://directory.campbell.edu/"
"143","","Cincinnati Children's Hospital","https://www.cincinnatichildrens.org/","DIRECTORY NOT AVAILABLE"
"144","Tier 2","Carolinas Medical Center","https://atriumhealth.org/","DIRECTORY NOT AVAILABLE"
"145","Tier 3+","University of Toledo","https://www.utoledo.edu/med/","https://www.utoledo.edu/edirectory/"
"146","","UC Riverside","https://medschool.ucr.edu/","https://profiles.ucr.edu/"
"147","Tier 3+","Oklahoma State University","https://medicine.okstate.edu/","https://directory.okstate.edu/"
"148","","Houston Methodist","https://www.houstonmethodist.org/","https://www.houstonmethodist.org/doctor/"
"149","","Larkin Community Hospital","https://www.larkinhospital.com/","DIRECTORY NOT AVAILABLE"
"150","","University of Vermont","https://www.uvmhealth.org/","https://www.uvm.edu/directory"
"151","Tier 2","Tower Health","https://towerhealth.org/","https://towerhealth.org/providers"
"152","","Lehigh Valley","https://www.lvhn.org/","https://www.lvhn.org/doctors"
"153","","Nassau University","https://www.numc.edu/","DIRECTORY NOT AVAILABLE"
"154","","Ochsner Clinic","https://www.ochsner.org/","https://www.ochsner.org/doctors"
"155","","Carilion Clinic","https://medicine.vtc.vt.edu/","DIRECTORY NOT AVAILABLE"
"156","","Bronx-Lebanon Hospital Center","https://www.bronxcare.org/","DIRECTORY NOT AVAILABLE"
"157","","Atlantic Health","https://www.atlantichealth.org/","DIRECTORY NOT AVAILABLE"
"158","","University of South Alabama","https://www.southalabama.edu/colleges/com/","https://jagaspx2.southalabama.edu/dirscan/"
"159","","Nuvance Health","https://learning.nuvancehealth.org/","DIRECTORY NOT AVAILABLE"
"160","","Orlando Health","https://www.orlandohealth.com/","DIRECTORY NOT AVAILABLE"


